id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
212,446,1,1,SMS Template: stock manager CUD on stock picking templates,"[('model_id.model', '=', 'stock.picking')]",t,f,t,t,t,f,2026-03-18 05:31:13.45306,2026-03-18 05:31:13.45306
213,677,1,1,Portal Follower Transfers,"['|', ('partner_id', '=', user.partner_id.id), ('sale_id.partner_id', '=', user.partner_id.id)]",t,t,t,t,t,f,2026-03-18 05:31:14.39974,2026-03-18 05:31:14.39974
214,595,1,1,Stock User Sales Orders Line,"[(1, '=', 1)]",t,t,f,f,f,f,2026-03-18 05:31:14.39974,2026-03-18 05:31:14.39974
215,726,1,1,Purchase Order multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
216,727,1,1,Purchase Order Line multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
217,726,1,1,Portal Purchase Orders,"[('partner_id', 'child_of', [user.commercial_partner_id.id])]",t,t,t,f,t,f,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
218,486,1,1,Purchase User Account Move Line,"[('move_id.move_type', 'in', ('in_invoice', 'in_refund', 'in_receipt'))]",t,t,t,t,t,f,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
219,466,1,1,Purchase User Account Move,"[('move_type', 'in', ('in_invoice', 'in_refund', 'in_receipt'))]",t,t,t,t,t,f,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
220,727,1,1,Portal Purchase Order Lines,"[('order_id.partner_id','child_of',[user.commercial_partner_id.id])]",t,t,t,t,t,f,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
221,729,1,1,Purchases & Bills Union multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
222,728,1,1,Purchase Order Report multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
223,737,1,1,Users are allowed to access their own maintenance requests,"['|', '|', ('owner_user_id', '=', user.id), ('message_partner_ids', 'in', [user.partner_id.id]), ('user_id', '=', user.id)]",t,t,t,t,t,f,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
224,736,1,1,Users are allowed to access equipment they follow,"[('message_partner_ids', 'in', [user.partner_id.id])]",t,t,t,t,t,f,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
225,737,1,1,Administrator of maintenance requests,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
