id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1905,1312,166,1,1,iot.device,t,t,t,f,t,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1906,1313,166,1,1,iot.keyboard.layout,t,t,t,f,t,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1907,1315,166,1,1,access.add.iot.box,t,t,t,t,f,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1908,1316,166,1,1,access.iot.discovered.box,t,t,t,t,f,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1909,1317,1,1,1,iot.select.printers.wizard,t,t,t,t,f,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1931,1330,46,1,1,stock.picking.batch stock users,t,t,t,t,t,2026-02-09 14:57:13.132789,2026-02-09 14:57:13.132789
1932,1331,46,1,1,access.stock.picking.to.batch,t,t,t,t,f,2026-02-09 14:57:13.132789,2026-02-09 14:57:13.132789
1933,1332,46,1,1,access.stock.picking.to.wave,t,t,t,t,f,2026-02-09 14:57:13.132789,2026-02-09 14:57:13.132789
1934,1333,46,1,1,access.expiry.picking.confirmation,t,t,t,t,f,2026-02-09 14:58:25.286621,2026-02-09 14:58:25.286621
1939,1341,4,1,1,google_calendar_account_reset_access_right,t,t,t,t,f,2026-02-09 15:06:10.586021,2026-02-09 15:06:10.586021
1940,682,10,1,1,subcontracting.portal.picking,t,t,f,f,f,2026-02-10 01:08:27.244386,2026-02-10 01:08:27.244386
1941,681,10,1,1,subcontracting.portal.picking.type,t,t,f,f,f,2026-02-10 01:08:27.244386,2026-02-10 01:08:27.244386
