source_table,constraint,source_column,target_table,target_column
account_followup_manual_reminder,account_followup_manual_reminder_write_uid_fkey,write_uid,res_users,id
account_followup_missing_information_wizard,account_followup_missing_information_wizard_create_uid_fkey,create_uid,res_users,id
account_followup_missing_information_wizard,account_followup_missing_information_wizard_write_uid_fkey,write_uid,res_users,id
account_full_reconcile,account_full_reconcile_create_uid_fkey,create_uid,res_users,id
account_full_reconcile,account_full_reconcile_write_uid_fkey,write_uid,res_users,id
account_group,account_group_company_id_fkey,company_id,res_company,id
account_group,account_group_create_uid_fkey,create_uid,res_users,id
account_group,account_group_parent_id_fkey,parent_id,account_group,id
account_group,account_group_write_uid_fkey,write_uid,res_users,id
account_import_summary_account_journal_rel,account_import_summary_account_j_account_import_summary_id_fkey,account_import_summary_id,account_import_summary,id
account_import_summary_account_journal_rel,account_import_summary_account_journal__account_journal_id_fkey,account_journal_id,account_journal,id
account_import_summary_account_move_rel,account_import_summary_account_m_account_import_summary_id_fkey,account_import_summary_id,account_import_summary,id
account_import_summary_account_move_rel,account_import_summary_account_move_rel_account_move_id_fkey,account_move_id,account_move,id
account_import_summary_account_tax_rel,account_import_summary_account_t_account_import_summary_id_fkey,account_import_summary_id,account_import_summary,id
account_import_summary_account_tax_rel,account_import_summary_account_tax_rel_account_tax_id_fkey,account_tax_id,account_tax,id
account_import_summary,account_import_summary_create_uid_fkey,create_uid,res_users,id
account_import_summary_res_partner_rel,account_import_summary_res_partn_account_import_summary_id_fkey,account_import_summary_id,account_import_summary,id
account_import_summary_res_partner_rel,account_import_summary_res_partner_rel_res_partner_id_fkey,res_partner_id,res_partner,id
account_import_summary,account_import_summary_write_uid_fkey,write_uid,res_users,id
account_incoterms,account_incoterms_create_uid_fkey,create_uid,res_users,id
account_incoterms,account_incoterms_write_uid_fkey,write_uid,res_users,id
account_intrastat_code,account_intrastat_code_country_id_fkey,country_id,res_country,id
account_intrastat_code,account_intrastat_code_create_uid_fkey,create_uid,res_users,id
account_intrastat_code,account_intrastat_code_write_uid_fkey,write_uid,res_users,id
account_invoice_transaction_rel,account_invoice_transaction_rel_invoice_id_fkey,invoice_id,account_move,id
account_invoice_transaction_rel,account_invoice_transaction_rel_transaction_id_fkey,transaction_id,payment_transaction,id
account_journal_account_journal_group_rel,account_journal_account_journal_g_account_journal_group_id_fkey,account_journal_group_id,account_journal_group,id
account_journal_account_journal_group_rel,account_journal_account_journal_group_r_account_journal_id_fkey,account_journal_id,account_journal,id
account_journal,account_journal_account_online_account_id_fkey,account_online_account_id,account_online_account,id
account_journal,account_journal_account_online_link_id_fkey,account_online_link_id,account_online_link,id
account_journal_account_reconcile_model_rel,account_journal_account_reconci_account_reconcile_model_id_fkey,account_reconcile_model_id,account_reconcile_model,id
account_journal_account_reconcile_model_rel,account_journal_account_reconcile_model_account_journal_id_fkey,account_journal_id,account_journal,id
account_journal,account_journal_alias_id_fkey,alias_id,mail_alias,id
account_journal,account_journal_bank_account_id_fkey,bank_account_id,res_partner_bank,id
account_journal,account_journal_company_id_fkey,company_id,res_company,id
account_journal,account_journal_create_uid_fkey,create_uid,res_users,id
account_journal,account_journal_currency_id_fkey,currency_id,res_currency,id
account_journal,account_journal_default_account_id_fkey,default_account_id,account_account,id
account_journal_group,account_journal_group_company_id_fkey,company_id,res_company,id
account_journal_group,account_journal_group_create_uid_fkey,create_uid,res_users,id
account_journal_group,account_journal_group_write_uid_fkey,write_uid,res_users,id
account_journal,account_journal_invoice_template_pdf_report_id_fkey,invoice_template_pdf_report_id,ir_act_report_xml,id
account_journal,account_journal_loss_account_id_fkey,loss_account_id,account_account,id
account_journal,account_journal_non_deductible_account_id_fkey,non_deductible_account_id,account_account,id
account_journal,account_journal_profit_account_id_fkey,profit_account_id,account_account,id
account_journal,account_journal_suspense_account_id_fkey,suspense_account_id,account_account,id
account_journal,account_journal_write_uid_fkey,write_uid,res_users,id
account_loan,account_loan_asset_group_id_fkey,asset_group_id,account_asset_group,id
account_loan_close_wizard,account_loan_close_wizard_create_uid_fkey,create_uid,res_users,id
account_loan_close_wizard,account_loan_close_wizard_loan_id_fkey,loan_id,account_loan,id
account_loan_close_wizard,account_loan_close_wizard_write_uid_fkey,write_uid,res_users,id
account_loan,account_loan_company_id_fkey,company_id,res_company,id
account_loan_compute_wizard,account_loan_compute_wizard_create_uid_fkey,create_uid,res_users,id
