id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
53,40,15,1,1,15/53/,\N,"ir.actions.act_window,43","{""en_US"": ""Update Apps List"", ""th_TH"": ""อัพเดทรายการแอพ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
54,10,6,1,1,1/4/6/54/,\N,"ir.actions.act_window,45","{""en_US"": ""Import Translation"", ""th_TH"": ""นำเข้าการแปล""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
55,50,15,1,1,15/55/,\N,"ir.actions.act_window,46","{""en_US"": ""Apply Scheduled Upgrades"", ""th_TH"": ""ใช้งานการอัพเกรดตามกำหนดการ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
56,10,6,1,1,1/4/6/56/,\N,"ir.actions.act_window,48","{""en_US"": ""Export Translation"", ""th_TH"": ""ส่งออกการแปล""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
57,10,11,1,1,1/8/11/57/,\N,"ir.actions.act_window,52","{""en_US"": ""Profiling"", ""th_TH"": ""การทำโปรไฟล์""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
58,10,3,1,1,1/3/58/,\N,"ir.actions.act_window,53","{""en_US"": ""Companies"", ""th_TH"": ""บริษัท""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
59,1,4,1,1,1/4/59/,\N,"ir.actions.act_window,54","{""en_US"": ""Languages"", ""th_TH"": ""ภาษา""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
61,3,3,1,1,1/3/61/,\N,"ir.actions.act_window,68","{""en_US"": ""Groups"", ""th_TH"": ""กลุ่ม""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
62,0,3,1,1,1/3/62/,\N,"ir.actions.act_window,70","{""en_US"": ""Users"", ""th_TH"": ""ผู้ใช้""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
63,10,13,1,1,1/8/13/63/,\N,"ir.actions.act_window,74","{""en_US"": ""User Devices"", ""th_TH"": ""อุปกรณ์ของผู้ใช้""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
64,15,8,1,1,1/8/64/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
65,2,64,1,1,1/8/64/65/,\N,"ir.actions.act_window,76","{""en_US"": ""Paper Format"", ""th_TH"": ""รูปแบบกระดาษ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
66,3,64,1,1,1/8/64/66/,\N,"ir.actions.act_window,77","{""en_US"": ""Reports"", ""th_TH"": ""รายงาน""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
67,100,15,1,1,15/67/,\N,"ir.actions.act_window,84","{""en_US"": ""Import Module"", ""th_TH"": ""นำเข้าโมดูล""}",t,2026-03-18 04:59:19.26217,2026-03-29 06:22:14.943654
68,0,1,1,1,1/68/,\N,"ir.actions.act_window,85","{""en_US"": ""General Settings"", ""th_TH"": ""การตั้งค่าทั่วไป""}",t,2026-03-18 04:59:19.556231,2026-03-29 06:22:15.148811
69,5,9,1,1,1/8/9/69/,\N,"ir.actions.act_window,87","{""en_US"": ""Tours"", ""th_TH"": ""ทัวร์""}",t,2026-03-18 04:59:22.971845,2026-03-29 06:22:21.600122
70,5,8,1,1,1/8/70/,\N,\N,"{""en_US"": ""IAP"", ""th_TH"": ""IAP""}",t,2026-03-18 04:59:24.548725,2026-03-29 06:22:23.10414
71,10,70,1,1,1/8/70/71/,\N,"ir.actions.act_window,90","{""en_US"": ""IAP Accounts"", ""th_TH"": ""บัญชี IAP""}",t,2026-03-18 04:59:24.548725,2026-03-29 06:22:23.10414
72,1,9,1,1,1/8/9/72/,\N,"ir.actions.act_window,92","{""en_US"": ""Onboardings"", ""th_TH"": ""การเริ่มต้นใช้งาน""}",t,2026-03-18 05:03:36.617167,2026-03-29 06:22:16.859966
